Year,District,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
2012,Mitte,1253.0,610.0,7921.0,2362.0,2242.0,36486.0,620.0,4317.0,3358.0,1695.0,354.0,140.0,6180.0,1346.0,2849.0,16545.0
2012,Friedrichshain-Kreuzberg,868.0,504.0,4613.0,1383.0,1153.0,22050.0,436.0,2380.0,3285.0,1214.0,314.0,105.0,5499.0,1311.0,1853.0,11001.0
2012,Pankow,410.0,166.0,2790.0,687.0,963.0,20310.0,770.0,2553.0,4139.0,1092.0,207.0,83.0,4722.0,1294.0,522.0,8441.0
2012,Charlottenburg-Wilmersdorf,643.0,248.0,4224.0,1195.0,1427.0,24061.0,707.0,3770.0,3173.0,1544.0,133.0,45.0,3975.0,847.0,1064.0,9997.0
2012,Spandau,359.0,143.0,2848.0,700.0,1090.0,11084.0,253.0,1470.0,1058.0,589.0,175.0,61.0,3257.0,542.0,481.0,7225.0
2012,Steglitz-Zehlendorf,284.0,110.0,1752.0,348.0,849.0,12410.0,466.0,2376.0,1568.0,961.0,115.0,39.0,3082.0,772.0,298.0,4818.0
2012,Tempelhof-Schöneberg,546.0,241.0,3216.0,735.0,1301.0,17414.0,504.0,2973.0,2169.0,1123.0,208.0,69.0,3907.0,822.0,1066.0,8263.0
2012,Neukölln,767.0,379.0,4368.0,1272.0,1594.0,19121.0,394.0,2872.0,1453.0,1388.0,242.0,95.0,4558.0,789.0,1578.0,11342.0
2012,Treptow-Köpenick,225.0,94.0,1923.0,426.0,668.0,9881.0,317.0,1571.0,1600.0,605.0,144.0,60.0,3317.0,1016.0,309.0,4571.0
2012,Marzahn-Hellersdorf,331.0,148.0,3052.0,625.0,929.0,9714.0,451.0,1778.0,1075.0,457.0,242.0,77.0,3435.0,800.0,308.0,6202.0
2012,Lichtenberg,260.0,112.0,2570.0,586.0,789.0,11911.0,445.0,1979.0,1418.0,632.0,187.0,67.0,3355.0,896.0,335.0,6252.0
2012,Reinickendorf,337.0,131.0,2876.0,713.0,1191.0,12898.0,369.0,2464.0,1540.0,985.0,193.0,63.0,3295.0,635.0,1024.0,6815.0
2013,Mitte,1096.0,573.0,7515.0,1966.0,2233.0,39314.0,638.0,4753.0,3547.0,1497.0,328.0,121.0,5744.0,1392.0,2864.0,16300.0
2013,Friedrichshain-Kreuzberg,906.0,622.0,4792.0,1437.0,1168.0,24474.0,602.0,2636.0,3515.0,1090.0,265.0,90.0,5094.0,1168.0,2391.0,11289.0
2013,Pankow,332.0,147.0,2793.0,632.0,1051.0,21063.0,862.0,3138.0,4203.0,992.0,233.0,111.0,4096.0,1075.0,539.0,8370.0
2013,Charlottenburg-Wilmersdorf,639.0,258.0,3998.0,1049.0,1507.0,25733.0,720.0,4686.0,2973.0,1663.0,149.0,64.0,3759.0,889.0,1180.0,10062.0
2013,Spandau,295.0,139.0,2817.0,661.0,1078.0,11725.0,303.0,1650.0,964.0,598.0,174.0,45.0,2920.0,481.0,528.0,7358.0
2013,Steglitz-Zehlendorf,288.0,123.0,1786.0,337.0,872.0,14146.0,545.0,3275.0,1601.0,1256.0,127.0,40.0,2537.0,643.0,423.0,5008.0
2013,Tempelhof-Schöneberg,600.0,288.0,3320.0,808.0,1278.0,18641.0,506.0,3253.0,2169.0,1022.0,232.0,67.0,3465.0,673.0,1122.0,8411.0
2013,Neukölln,752.0,411.0,4079.0,1191.0,1498.0,19538.0,558.0,3332.0,1558.0,1163.0,251.0,102.0,4313.0,660.0,1635.0,10506.0
2013,Treptow-Köpenick,209.0,109.0,2009.0,435.0,775.0,10769.0,500.0,2236.0,1923.0,451.0,171.0,76.0,2822.0,827.0,342.0,4656.0
2013,Marzahn-Hellersdorf,327.0,158.0,3139.0,615.0,972.0,9830.0,508.0,2032.0,1114.0,416.0,240.0,82.0,2818.0,620.0,324.0,6229.0
